Time,Altitude,Velocity,Acceleration_m_s2,Calculated_Cd,Mach,,,
0,875,0,0,0,0,,,
0.01,875,0.0992,19.8389,0,0.000289213,,,
0.02,875.002,0.4458,49.4745,0,0.001299708,,,
0.03,875.009,1.0888,79.1397,0,0.003174344,,,
0.04,875.024,2.029,108.893,0,0.005915452,,,
0.052,875.057,3.4213,123.1617,0,0.009974636,,,
0.062,875.097,4.6559,123.7599,0,0.013574052,,,
0.072,875.149,5.8965,124.3581,0,0.017190962,,,
0.082,875.214,7.1431,124.9661,0,0.020825364,,,
0.092,875.291,8.3958,125.5643,0,0.024477551,,,
0.101,875.372,9.5283,126.1037,0,0.0277793,,,
0.111,875.473,10.7882,125.8782,0,0.031452478,,,
0.121,875.587,12.0459,125.6526,0,0.035119242,,,
0.131,875.713,13.3013,125.4271,0,0.0387793,,,
0.141,875.852,14.5544,125.2015,0,0.042432653,,,
0.151,876.004,15.8053,124.9759,0,0.046079592,,,
0.161,876.168,17.0539,124.7406,0,0.049719825,,,
0.171,876.344,18.3002,124.515,0,0.053353353,,,
0.181,876.533,19.5442,124.2895,0,0.056980175,,,
0.19,876.713,20.6619,124.0835,0,0.060238776,,,
0.2,876.926,21.9029,124.1228,0,0.063856851,,,
0.21,877.151,23.1443,124.162,0,0.067476093,,,
0.22,877.388,24.3862,124.211,0,0.071096793,,,
0.23,877.638,25.6285,124.2503,0,0.074718659,,,
0.24,877.9,26.8712,124.2895,0,0.078341691,,,
0.25,878.175,28.1143,124.3385,0,0.081965889,,,
0.26,878.462,29.3579,124.3777,0,0.085591545,,,
0.27,878.761,30.6019,124.417,0,0.089218367,,,
0.28,879.073,31.8462,124.4562,0,0.092846064,,,
0.29,879.397,33.091,124.5052,0,0.096475219,,,
0.3,879.734,34.3363,124.5445,0,0.100105831,,,
0.31,880.084,35.5819,124.5837,0,0.103737318,,,
0.32,880.445,36.8279,124.6033,0,0.107369971,,,
0.335,881.011,38.6974,124.6621,0,0.112820408,,,
0.358,881.913,41.5656,124.7504,0,0.121182507,,,
0.38,882.877,44.3111,124.8387,0,0.12918688,,,
0.414,884.443,48.5623,125.2309,0,0.14158105,,, 
