Time,Real_Alt,Baro_Alt,kf_altitude,Real_G,Sens_G,Real_Vel,kf_velocity,Pred_Apogee
0.000,875.000,875.250,875.000,0.000,0.000,0.0000,0.0000,875.00
0.010,875.000,874.739,874.826,2.023,1.869,0.0992,0.1816,874.83
0.020,875.002,874.929,874.870,5.045,4.913,0.4458,0.6652,874.87
0.030,875.009,875.251,874.986,8.070,7.507,1.0888,1.4111,874.99
0.040,875.024,875.189,875.047,11.104,10.590,2.0290,2.4565,875.05
0.052,875.057,874.822,875.036,12.559,12.020,3.4213,3.8587,875.04
0.062,875.097,874.986,875.066,12.620,11.900,4.6559,5.0206,875.07
0.072,875.149,875.133,875.124,12.681,13.010,5.8965,6.2976,875.12
0.082,875.214,875.025,875.173,12.743,13.070,7.1431,7.5668,875.17
0.092,875.291,875.522,875.284,12.804,11.805,8.3958,8.7478,875.28
0.101,875.372,875.266,875.357,12.859,11.887,9.5283,9.7879,875.36
0.111,875.473,875.539,875.469,12.836,13.335,10.7882,11.1041,875.47
0.121,875.587,875.492,875.578,12.813,13.817,12.0459,12.4490,875.58
0.131,875.713,875.859,875.721,12.790,11.789,13.3013,13.6236,875.72
0.141,875.852,875.975,875.872,12.767,11.909,14.5544,14.8062,875.87
0.151,876.004,875.816,876.011,12.744,13.183,15.8053,16.0707,876.01
0.161,876.168,876.390,876.193,12.720,12.282,17.0539,17.3062,876.19
0.171,876.344,876.101,876.353,12.697,13.158,18.3002,18.5559,876.35
0.181,876.533,876.542,876.545,12.674,12.357,19.5442,19.7676,876.54
0.190,876.713,876.518,876.714,12.653,13.318,20.6619,20.9093,876.71
0.200,876.926,876.936,876.930,12.657,12.582,21.9029,22.1448,876.93
0.210,877.151,877.310,877.167,12.661,12.453,23.1443,23.3932,877.17
0.220,877.388,877.594,877.419,12.666,13.130,24.3862,24.7146,877.42
0.230,877.638,877.381,877.654,12.670,12.401,25.6285,25.8774,877.65
0.240,877.900,878.199,877.937,12.674,13.681,26.8712,27.2720,877.94
0.250,878.175,878.171,878.213,12.679,12.670,28.1143,28.5063,878.21
0.260,878.462,878.284,878.491,12.683,12.772,29.3579,29.7163,878.49
0.270,878.761,878.726,878.790,12.687,12.618,30.6019,30.9408,878.79
0.280,879.073,879.339,879.120,12.691,12.203,31.8462,32.1843,879.12
0.290,879.397,879.419,879.446,12.696,13.436,33.0910,33.4965,879.45
0.300,879.734,879.466,879.768,12.700,13.023,34.3363,34.7096,879.77
0.310,880.084,880.149,880.123,12.704,12.808,35.5819,35.9716,880.12
0.320,880.445,880.738,880.504,12.706,12.706,36.8279,37.2681,880.50
0.335,881.011,880.959,881.070,12.712,12.646,38.6974,39.1045,881.07
0.358,881.913,881.878,881.993,12.721,12.289,41.5656,41.8506,881.99
0.380,882.877,882.842,882.936,12.730,12.538,44.3111,44.5337,882.94
0.414,884.443,884.726,884.538,12.770,12.647,48.5623,48.8015,884.54
0.464,887.025,887.183,887.147,12.827,13.381,54.8378,55.3756,887.15
0.514,889.921,890.085,890.073,12.883,12.680,61.1410,61.5994,890.07
0.564,893.133,893.005,893.281,12.937,13.691,67.4712,68.2252,893.28
0.614,896.662,896.528,896.807,12.989,12.976,73.8274,74.4990,896.81
0.664,900.509,900.415,900.658,13.038,13.539,80.2083,81.0626,900.66
0.714,904.677,904.801,904.867,13.086,13.632,86.6131,87.7293,904.87
0.764,909.165,908.877,909.327,13.130,12.344,93.0403,93.6546,909.33
0.814,913.975,913.844,914.126,13.171,13.425,99.4884,100.1636,914.13
0.864,919.107,918.884,919.235,13.208,13.168,105.9557,106.5342,919.24
0.914,924.564,924.369,924.675,13.242,13.406,112.4403,113.0386,924.67
0.965,930.494,930.325,930.573,13.272,13.691,119.0707,119.8345,930.57
1.015,936.609,936.875,936.755,13.322,13.949,125.5906,126.7005,936.76
1.065,943.050,943.085,943.231,13.371,13.333,132.1349,133.2135,943.23
1.115,949.820,949.835,950.034,13.420,14.061,138.7031,140.0762,950.03
1.165,956.918,956.896,957.174,13.474,14.462,145.2966,147.1257,957.17
1.215,964.347,964.351,964.644,13.533,12.670,151.9178,153.2970,964.64
1.265,972.107,972.348,972.460,13.601,13.601,158.5702,159.9532,972.46
1.315,980.201,980.376,980.584,13.680,12.625,165.2585,166.1190,980.58
1.365,988.631,988.791,989.025,13.763,13.443,171.9866,172.6847,989.02
1.415,997.397,997.297,997.769,13.851,13.771,178.7567,179.3865,997.77
1.465,1006.504,1006.648,1006.870,13.942,12.962,185.5706,185.7211,1006.87
1.515,1015.952,1015.707,1016.250,14.030,12.932,192.4283,192.0107,1016.25
1.565,1025.744,1025.517,1025.964,14.109,13.461,199.3271,198.5717,1025.96
1.615,1035.882,1036.099,1036.082,14.179,15.284,206.2623,206.0701,1036.08
1.665,1046.368,1046.417,1046.549,14.236,14.440,213.2287,213.1418,1046.55
1.715,1057.202,1056.987,1057.353,14.279,15.180,220.2197,220.5585,1057.35
1.765,1068.387,1068.193,1068.515,14.309,13.584,227.2285,227.1971,1068.51
1.815,1079.923,1080.035,1080.060,14.325,15.317,234.2486,234.7083,1080.06
1.865,1091.809,1091.870,1091.962,14.342,13.571,241.2767,241.3651,1091.96
1.915,1104.047,1105.127,1104.218,14.371,15.315,248.3162,248.8770,1104.22
1.961,1115.547,1114.112,1115.811,14.412,13.960,254.8083,255.1768,1115.81
2.004,1126.638,1127.592,1126.911,14.470,14.043,260.8979,261.1005,1126.91
2.054,1139.857,1139.889,1140.156,14.549,15.469,268.0123,268.6882,1140.16
2.104,1153.433,1152.750,1153.779,14.619,15.413,275.1633,276.2483,1153.78
2.154,1167.367,1165.590,1167.777,14.668,15.127,282.3435,283.6680,1167.78
2.176,1173.685,1175.456,1174.050,14.679,13.801,285.5093,286.6466,1174.05
2.209,1183.295,1183.443,1183.593,14.642,15.646,290.2537,291.7118,1183.59
2.258,1197.586,1196.660,1198.046,14.566,13.477,297.2713,298.1902,1198.05
2.308,1212.627,1213.215,1213.144,14.497,15.365,304.3966,305.7266,1213.14
2.358,1228.023,1227.706,1228.598,14.440,13.701,311.4909,312.4468,1228.60
2.395,1239.534,1239.431,1240.249,14.424,13.442,316.7275,317.3259,1240.25
2.434,1252.027,1257.054,1252.725,14.424,13.442,322.2441,322.4689,1252.72
2.484,1268.313,1271.640,1269.031,14.441,14.892,329.3209,329.7732,1269.03
2.534,1284.953,1283.878,1285.699,14.389,14.592,336.3890,336.9305,1285.70
2.569,1297.027,1287.492,1297.571,14.326,13.323,341.3170,341.5049,1297.57
2.602,1308.066,1308.378,1308.912,14.257,13.266,345.9420,345.7996,1308.91
2.650,1324.893,1341.841,1325.681,14.148,15.096,352.6274,352.9078,1325.68
2.700,1342.694,1350.373,1343.509,14.078,14.880,359.5474,360.2065,1343.51
2.737,1356.344,1353.514,1356.930,14.064,13.880,364.6530,365.2446,1356.93
2.778,1371.395,1384.131,1372.021,14.083,14.160,370.3116,370.9400,1372.02
2.828,1390.085,1374.247,1390.739,14.133,13.910,377.2292,377.7627,1390.74
2.878,1408.826,1403.310,1409.804,14.162,14.403,384.1662,384.8273,1409.80
2.887,1412.433,1369.375,1413.273,14.163,15.230,385.4162,386.1719,1413.27
2.901,1417.867,1409.363,1418.694,14.144,15.210,387.3594,388.2610,1418.69
2.922,1426.068,1391.698,1426.880,14.112,15.043,390.2689,391.3599,1426.88
2.954,1438.487,1402.863,1439.479,14.065,15.023,394.6900,396.0759,1439.48
3.001,1457.373,1519.646,1458.258,14.014,15.085,401.1610,403.0313,1458.26
3.039,1472.627,1520.119,1473.681,14.011,15.110,406.3828,408.6639,1473.68
3.089,1493.116,1570.558,1494.288,14.020,14.187,413.2551,415.6229,1494.29
3.139,1513.950,1567.529,1515.236,13.996,13.634,420.1236,422.3102,1515.24
3.187,1534.237,1491.613,1535.674,13.916,14.766,426.6930,429.2634,1535.67
3.237,1555.740,1418.914,1557.296,13.811,12.954,433.4907,435.6174,1557.30
3.287,1577.582,1457.751,1579.257,13.725,14.675,440.2416,442.8155,1579.26
3.337,1599.760,1585.800,1601.563,13.680,13.467,446.9604,449.4211,1601.56
3.387,1622.274,1415.363,1624.206,13.614,14.025,453.6520,456.3003,1624.21
3.437,1645.122,1897.855,1647.178,13.513,12.815,460.3026,462.5859,1647.18
3.487,1668.300,1834.186,1670.475,13.414,13.718,466.9042,469.3148,1670.48
3.537,1691.808,1694.114,1694.116,13.333,14.262,473.4616,476.3102,1694.12
3.587,1715.643,1439.795,1718.106,13.269,14.268,479.9835,483.3088,1718.11
3.637,1739.803,2075.007,1742.431,13.200,12.940,486.4729,489.6559,1742.43
3.658,1750.065,2248.080,1752.743,13.166,13.769,489.1878,492.4926,1752.74
3.690,1765.565,1524.793,1768.571,12.816,13.549,493.2645,496.7459,1768.57
3.737,1789.049,2191.549,1792.051,12.281,12.274,499.0483,502.4052,1792.05
3.787,1814.148,1961.669,1817.324,11.727,12.511,504.9342,508.5419,1817.32
3.837,1839.534,1180.812,1842.896,11.180,11.753,510.5502,514.3067,1842.90
3.887,1865.194,1557.358,1868.745,10.637,10.923,515.8990,519.6645,1868.74
3.937,1891.115,2925.388,1894.852,10.085,10.060,520.9794,524.5989,1894.85
3.987,1917.283,3792.153,1921.195,9.526,9.227,525.7873,529.1250,1921.19
4.037,1943.685,1818.118,1947.755,8.956,8.431,530.3185,533.2603,1947.75
4.087,1970.306,2496.791,1974.521,8.389,8.445,534.5709,537.4026,1974.52
4.137,1997.133,1460.042,2001.487,7.833,7.810,538.5480,541.2335,2001.49
4.170,2015.003,3370.875,2019.386,7.468,7.167,541.0238,543.5538,2019.39
4.220,2041.958,1048.466,2046.649,7.288,6.989,544.6415,546.9819,2046.65
4.270,2069.275,1435.628,2074.079,7.102,6.592,548.1694,550.2153,2074.08
4.320,2096.767,2146.345,2101.679,6.890,7.296,551.5998,553.7939,2101.68
4.370,2124.428,4903.421,2129.447,6.667,6.355,554.9235,556.9110,2129.45
