Time,Altitude,Vertical acceleration,Lateral acceleration
0,875,0,0
0.01,875,2.023,0.261
0.02,875.002,5.045,0.526
0.03,875.009,8.07,0.79
0.04,875.024,11.104,0.971
0.052,875.057,12.559,1.099
0.062,875.097,12.62,1.104
0.072,875.149,12.681,1.109
0.082,875.214,12.743,1.115
0.092,875.291,12.804,1.12
0.101,875.372,12.859,1.125
0.111,875.473,12.836,1.123
0.121,875.587,12.813,1.121
0.131,875.713,12.79,1.119
0.141,875.852,12.767,1.117
0.151,876.004,12.744,1.115
0.161,876.168,12.72,1.113
0.171,876.344,12.697,1.111
0.181,876.533,12.674,1.109
0.19,876.713,12.653,1.107
0.2,876.926,12.657,1.107
0.21,877.151,12.661,1.108
0.22,877.388,12.666,1.108
0.23,877.638,12.67,1.109
0.24,877.9,12.674,1.109
0.25,878.175,12.679,1.109
0.26,878.462,12.683,1.11
0.27,878.761,12.687,1.11
0.28,879.073,12.691,1.11
0.29,879.397,12.696,1.111
0.3,879.734,12.7,1.111
0.31,880.084,12.704,1.111
0.32,880.445,12.706,1.141
0.335,881.011,12.712,1.142
0.358,881.913,12.721,1.142
0.38,882.877,12.73,1.141
0.414,884.443,12.77,1.148
0.464,887.025,12.827,1.168
0.514,889.921,12.883,1.193
0.564,893.133,12.937,1.236
0.614,896.662,12.989,1.291
0.664,900.509,13.038,1.366
0.714,904.677,13.086,1.457
0.764,909.165,13.13,1.565
0.814,913.975,13.171,1.687
0.864,919.107,13.208,1.824
0.914,924.564,13.242,1.973
0.965,930.494,13.272,2.141
1.015,936.609,13.322,2.298
1.065,943.05,13.371,2.44
1.115,949.82,13.42,2.575
1.165,956.918,13.474,2.677
1.215,964.347,13.533,2.743
1.265,972.107,13.601,2.755
1.315,980.201,13.68,2.706
1.365,988.631,13.763,2.626
1.415,997.397,13.851,2.505
1.465,1006.504,13.942,2.354
1.515,1015.952,14.03,2.2
1.565,1025.744,14.109,2.085
1.615,1035.882,14.179,2.016
1.665,1046.368,14.236,2.036
1.715,1057.202,14.279,2.146
1.765,1068.387,14.309,2.323
1.815,1079.923,14.325,2.557
1.865,1091.809,14.342,2.759
1.915,1104.047,14.371,2.865
1.961,1115.547,14.412,2.878
2.004,1126.638,14.47,2.76
2.054,1139.857,14.549,2.528
2.104,1153.433,14.619,2.304
2.154,1167.367,14.668,2.176
2.176,1173.685,14.679,2.179
2.209,1183.295,14.642,2.233
2.258,1197.586,14.566,2.392
2.308,1212.627,14.497,2.654
2.358,1228.023,14.44,2.851
2.395,1239.534,14.424,2.837
2.434,1252.027,14.424,2.73
2.484,1268.313,14.441,2.469
2.534,1284.953,14.389,2.204
2.569,1297.027,14.326,2.164
2.602,1308.066,14.257,2.271
2.65,1324.893,14.148,2.578
2.7,1342.694,14.078,2.753
2.737,1356.344,14.064,2.733
2.778,1371.395,14.083,2.564
2.828,1390.085,14.133,2.292
2.878,1408.826,14.162,2.238
2.887,1412.433,14.163,2.266
2.901,1417.867,14.144,2.321
2.922,1426.068,14.112,2.427
2.954,1438.487,14.065,2.602
3.001,1457.373,14.014,2.746
3.039,1472.627,14.011,2.646
3.089,1493.116,14.02,2.399
3.139,1513.95,13.996,2.28
3.187,1534.237,13.916,2.41
3.237,1555.74,13.811,2.578
3.287,1577.582,13.725,2.605
3.337,1599.76,13.68,2.377
3.387,1622.274,13.614,2.278
3.437,1645.122,13.513,2.393
3.487,1668.3,13.414,2.49
3.537,1691.808,13.333,2.476
3.587,1715.643,13.269,2.366
3.637,1739.803,13.2,2.277
3.658,1750.065,13.166,2.269
3.69,1765.565,12.816,2.241
3.737,1789.049,12.281,2.248
3.787,1814.148,11.727,2.182
3.837,1839.534,11.18,2.062
3.887,1865.194,10.637,1.908
3.937,1891.115,10.085,1.804
3.987,1917.283,9.526,1.722
4.037,1943.685,8.956,1.703
4.087,1970.306,8.389,1.661
4.137,1997.133,7.833,1.539
4.17,2015.003,7.468,1.435
4.22,2041.958,7.288,1.32
4.27,2069.275,7.102,1.233
4.32,2096.767,6.89,1.304
4.37,2124.428,6.667,1.44
4.42,2152.252,6.472,1.41
4.47,2180.235,6.301,1.237
4.493,2193.35,6.221,1.157
4.528,2213.085,5.865,1.009
4.578,2241.391,5.333,0.947
4.628,2269.828,4.778,1.019
4.678,2298.382,4.232,1.032
4.728,2327.039,3.714,0.888
4.778,2355.788,3.206,0.684
4.828,2384.615,2.691,0.525
4.878,2413.508,2.163,0.441
4.881,2415.238,2.13,0.438
4.885,2417.833,2.106,0.439
4.892,2421.726,2.068,0.441
4.902,2427.567,2.011,0.448
4.917,2436.333,1.923,0.471
4.94,2449.49,1.792,0.506
4.974,2469.242,1.598,0.536
5.024,2498.271,1.332,0.48
5.074,2527.332,1.079,0.347
5.124,2556.42,0.821,0.245
5.174,2585.528,0.549,0.23
5.224,2614.649,0.274,0.232
5.274,2643.777,0.01,0.174
5.324,2672.906,-0.254,0.119
5.374,2702.028,-0.517,0.066
5.424,2731.138,-0.783,0.023
5.474,2760.228,-1.054,0.022
5.483,2765.341,-1.101,0.02
5.496,2773.009,-1.154,0.019
5.516,2784.508,-1.23,0.005
5.546,2801.747,-1.341,0.054
5.59,2827.584,-1.505,0.147
5.64,2856.57,-1.7,0.179
5.69,2885.514,-1.905,0.149
5.74,2914.411,-2.106,0.14
5.79,2943.257,-2.297,0.18
5.84,2972.047,-2.472,0.319
5.89,3000.776,-2.664,0.351
5.94,3029.44,-2.864,0.337
5.99,3058.034,-3.061,0.342
6.04,3086.552,-3.249,0.395
6.09,3114.991,-3.438,0.445
6.137,3141.555,-3.62,0.45
6.187,3169.826,-3.901,0.483
6.237,3198.001,-4.174,0.547
6.287,3226.074,-4.447,0.613
6.322,3245.661,-4.635,0.669
6.372,3273.546,-4.604,0.661
6.422,3301.318,-4.579,0.618
6.472,3328.977,-4.548,0.606
6.522,3356.526,-4.518,0.593
6.572,3383.963,-4.485,0.605
6.622,3411.291,-4.443,0.669
6.672,3438.51,-4.412,0.671
6.722,3465.62,-4.396,0.587
6.772,3492.623,-4.376,0.524
6.822,3519.518,-4.341,0.558
6.872,3546.307,-4.302,0.619
6.922,3572.991,-4.27,0.634
6.972,3599.57,-4.249,0.596
7.022,3626.044,-4.233,0.521
7.072,3652.415,-4.206,0.516
7.122,3678.683,-4.167,0.583
7.172,3704.849,-4.133,0.622
7.222,3730.913,-4.109,0.601
7.272,3756.876,-4.092,0.547
7.322,3782.74,-4.074,0.498
7.372,3808.503,-4.049,0.495
7.422,3834.167,-4.015,0.539
7.472,3859.733,-3.983,0.571
7.522,3885.201,-3.956,0.58
7.572,3910.572,-3.934,0.561
7.622,3935.846,-3.915,0.53
7.672,3961.025,-3.899,0.483
7.722,3986.108,-3.88,0.454
7.772,4011.096,-3.848,0.494
7.822,4035.989,-3.816,0.543
7.872,4060.789,-3.788,0.566
7.922,4085.496,-3.773,0.522
7.972,4110.111,-3.759,0.469
8.022,4134.633,-3.735,0.481
8.072,4159.064,-3.71,0.495
8.122,4183.404,-3.684,0.513
8.172,4207.654,-3.659,0.533
8.222,4231.813,-3.647,0.481
8.272,4255.884,-3.639,0.402
8.322,4279.865,-3.612,0.43
8.372,4303.758,-3.574,0.526
8.422,4327.563,-3.548,0.549
8.472,4351.281,-3.537,0.493
8.522,4374.912,-3.531,0.415
8.572,4398.457,-3.514,0.395
8.622,4421.916,-3.484,0.447
8.672,4445.289,-3.454,0.496
8.722,4468.578,-3.433,0.501
8.772,4491.782,-3.42,0.465
8.822,4514.903,-3.406,0.434
8.872,4537.94,-3.392,0.406
8.922,4560.894,-3.375,0.397
8.972,4583.765,-3.346,0.45
9.022,4606.554,-3.321,0.488
9.072,4629.261,-3.307,0.461
9.122,4651.888,-3.293,0.439
9.172,4674.434,-3.283,0.399
9.222,4696.899,-3.271,0.367
9.272,4719.284,-3.245,0.413
9.322,4741.59,-3.219,0.454
9.372,4763.816,-3.199,0.473
9.422,4785.965,-3.189,0.431
9.472,4808.035,-3.183,0.371
9.522,4830.027,-3.168,0.364
9.572,4851.941,-3.146,0.39
9.622,4873.778,-3.123,0.42
9.672,4895.539,-3.102,0.445
9.722,4917.224,-3.088,0.433
9.772,4938.833,-3.081,0.382
9.822,4960.366,-3.069,0.36
9.872,4981.824,-3.047,0.39
9.922,5003.207,-3.03,0.396
9.972,5024.517,-3.018,0.378
10.022,5045.752,-3.005,0.363
10.072,5066.913,-2.987,0.374
10.122,5088.001,-2.964,0.421
10.172,5109.017,-2.948,0.425
10.222,5129.96,-2.942,0.376
10.272,5150.831,-2.936,0.33
10.322,5171.631,-2.926,0.306
10.372,5192.358,-2.901,0.363
10.422,5213.014,-2.876,0.417
10.472,5233.6,-2.867,0.385
10.522,5254.116,-2.86,0.348
10.572,5274.561,-2.847,0.342
10.622,5294.937,-2.829,0.374
10.672,5315.243,-2.816,0.38
10.722,5335.48,-2.812,0.336
10.772,5355.648,-2.807,0.303
10.822,5375.748,-2.792,0.318
10.872,5395.779,-2.771,0.378
10.922,5415.742,-2.757,0.406
10.972,5435.637,-2.756,0.367
11.022,5455.465,-2.756,0.317
11.072,5475.225,-2.752,0.294
11.122,5494.918,-2.739,0.321
11.172,5514.544,-2.726,0.353
11.222,5534.102,-2.72,0.353
11.272,5553.594,-2.712,0.358
11.322,5573.02,-2.708,0.34
11.372,5592.379,-2.706,0.321
11.422,5611.672,-2.699,0.331
11.472,5630.899,-2.69,0.344
11.522,5650.06,-2.686,0.339
11.572,5669.155,-2.679,0.342
11.622,5688.184,-2.669,0.368
11.672,5707.148,-2.669,0.337
11.722,5726.046,-2.673,0.291
11.772,5744.879,-2.67,0.28
11.822,5763.646,-2.657,0.315
11.872,5782.348,-2.642,0.365
11.922,5800.986,-2.634,0.376
11.972,5819.559,-2.633,0.352
12.022,5838.067,-2.635,0.316
12.072,5856.511,-2.634,0.291
12.122,5874.89,-2.627,0.294
12.172,5893.205,-2.615,0.323
12.222,5911.455,-2.603,0.352
12.272,5929.642,-2.596,0.355
12.322,5947.765,-2.595,0.323
12.372,5965.825,-2.593,0.3
12.422,5983.821,-2.583,0.313
12.472,6001.753,-2.575,0.316
12.522,6019.623,-2.565,0.327
12.572,6037.43,-2.558,0.327
12.622,6055.174,-2.554,0.309
12.672,6072.855,-2.544,0.318
12.722,6090.474,-2.536,0.315
12.772,6108.031,-2.529,0.302
12.822,6125.526,-2.52,0.304
12.872,6142.959,-2.512,0.302
12.922,6160.33,-2.501,0.312
12.972,6177.64,-2.486,0.334
13.022,6194.889,-2.476,0.331
13.072,6212.078,-2.472,0.3
13.122,6229.206,-2.466,0.279
13.172,6246.273,-2.459,0.267
13.222,6263.28,-2.448,0.265
13.272,6280.227,-2.429,0.299
13.322,6297.115,-2.412,0.324
13.372,6313.943,-2.399,0.334
13.422,6330.713,-2.39,0.321
13.472,6347.424,-2.387,0.28
13.522,6364.076,-2.378,0.263
13.572,6380.67,-2.365,0.263
13.622,6397.207,-2.351,0.266
13.672,6413.685,-2.335,0.28
13.722,6430.106,-2.32,0.287
13.772,6446.471,-2.309,0.276
13.822,6462.779,-2.292,0.285
13.872,6479.03,-2.274,0.301
13.922,6495.226,-2.264,0.281
13.972,6511.367,-2.257,0.242
14.022,6527.452,-2.247,0.222
