Time,Real_Alt,Baro_Alt,kf_altitude,Real_G,Sens_G,Real_Vel,kf_velocity,Pred_Apogee
0.000,890.000,889.823,890.000,0.000,0.000,0.0000,0.0000,890.00
0.010,890.000,889.788,889.859,2.017,1.892,0.0989,0.1842,889.86
0.020,890.002,889.978,889.909,5.033,4.927,0.4446,0.6694,889.91
0.030,890.009,890.233,890.009,8.052,7.777,1.0862,1.4404,890.01
0.040,890.024,890.286,890.086,11.083,10.699,2.0244,2.4990,890.09
0.052,890.056,890.317,890.160,12.535,12.855,3.4141,4.0217,890.16
0.062,890.096,890.165,890.200,12.596,13.185,4.6464,5.3127,890.20
0.072,890.149,890.194,890.251,12.658,11.926,5.8847,6.4782,890.25
0.082,890.214,890.203,890.307,12.719,13.294,7.1290,7.7732,890.31
0.092,890.291,890.547,890.408,12.780,12.381,8.3793,9.0012,890.41
0.101,890.371,890.665,890.512,12.836,13.309,9.5097,10.1921,890.51
0.111,890.472,890.405,890.600,12.813,13.147,10.7674,11.4598,890.60
0.121,890.586,890.709,890.720,12.790,12.159,12.0227,12.6512,890.72
0.131,890.712,890.839,890.851,12.767,12.405,13.2759,13.8665,890.85
0.141,890.851,890.730,890.975,12.744,12.084,14.5267,15.0178,890.98
0.151,891.002,890.817,891.108,12.721,13.007,15.7754,16.2509,891.11
0.161,891.166,891.196,891.271,12.698,12.081,17.0217,17.4244,891.27
0.171,891.342,891.571,891.460,12.674,13.407,18.2658,18.7576,891.46
0.181,891.530,891.525,891.645,12.651,12.149,19.5076,19.9291,891.65
0.190,891.711,891.544,891.810,12.630,12.178,20.6232,20.9577,891.81
0.200,891.923,891.853,892.015,12.635,12.740,21.8621,22.1782,892.01
0.210,892.147,891.855,892.218,12.639,13.544,23.1013,23.4391,892.22
0.220,892.384,892.472,892.460,12.643,12.127,24.3410,24.6311,892.46
0.230,892.634,892.402,892.693,12.648,12.677,25.5811,25.8177,892.69
0.240,892.896,892.857,892.951,12.652,13.528,26.8216,27.1260,892.95
0.250,893.170,893.341,893.235,12.656,11.885,28.0626,28.3134,893.24
0.260,893.456,893.747,893.538,12.661,12.193,29.3040,29.5528,893.54
0.270,893.755,893.504,893.820,12.665,13.646,30.5458,30.8254,893.82
0.280,894.067,894.005,894.126,12.669,12.469,31.7880,32.0231,894.13
0.290,894.391,894.217,894.438,12.673,13.024,33.0306,33.2537,894.44
0.300,894.727,894.442,894.756,12.678,12.781,34.2737,34.4404,894.76
0.310,895.076,894.908,895.094,12.682,12.805,35.5172,35.6568,895.09
0.320,895.437,895.206,895.441,12.675,12.695,36.7605,36.8518,895.44
0.335,896.002,895.704,895.989,12.682,12.782,38.6255,38.6702,895.99
0.358,896.902,897.108,896.924,12.691,12.355,41.4869,41.5011,896.92
0.380,897.865,898.122,897.886,12.700,12.824,44.2259,44.3262,897.89
0.414,899.428,899.388,899.454,12.740,11.760,48.4670,48.2311,899.45
0.464,902.006,901.750,902.003,12.798,13.481,54.7279,54.7686,902.00
0.514,904.897,904.883,904.896,12.855,12.699,61.0171,60.9935,904.90
0.564,908.104,908.078,908.102,12.912,13.032,67.3344,67.3781,908.10
0.614,911.627,911.415,911.595,12.969,12.452,73.6795,73.4271,911.60
0.664,915.468,915.245,915.409,13.024,13.824,80.0522,80.1559,915.41
0.714,919.629,919.589,919.575,13.079,12.739,86.4519,86.4084,919.58
0.764,924.110,924.166,924.080,13.134,13.811,92.8785,93.2076,924.08
0.814,928.914,928.661,928.857,13.187,12.249,99.3314,99.1629,928.86
0.864,934.041,933.991,933.970,13.239,12.364,105.8102,105.2329,933.97
0.914,939.493,939.399,939.386,13.291,12.429,112.3145,111.3324,939.39
0.965,945.419,945.392,945.254,13.343,13.106,118.9747,117.9194,945.25
1.015,951.532,951.408,951.326,13.413,13.225,125.5343,124.4230,951.33
1.065,957.974,958.030,957.749,13.483,12.915,132.1284,130.8097,957.75
1.115,964.747,964.884,964.515,13.552,13.832,138.7565,137.6572,964.52
1.165,971.852,971.802,971.602,13.621,14.165,145.4184,144.6367,971.60
1.215,979.291,979.249,979.036,13.689,14.024,152.1137,151.5469,979.04
1.265,987.066,987.189,986.832,13.756,13.839,158.8422,158.3841,986.83
1.315,995.178,995.412,994.986,13.823,14.527,165.6037,165.5642,994.99
1.365,1003.630,1003.428,1003.426,13.890,13.147,172.3981,172.0132,1003.43
1.415,1012.422,1012.213,1012.195,13.957,13.526,179.2251,178.6497,1012.19
